permno_year,publn_nr,mahal_dist
US0001011988,11104401,316.2713635134816
US0001011988,11109692,141.46468231477078
US0001011989,11116347,78.18187396237427
US0001011989,11131030,95.56696049133367
US0001011989,11135294,153.73462130147726
US0001011991,11193446,125.46580750867723
US0001011991,11194820,96.30179780683052
US0001011991,11199288,223.32651387515398
US0001011991,11207588,129.02684896432189
US0001011991,11212090,219.93577452383212
US0001011992,11213758,223.90652826162423
US0001011992,11224555,152.0127774092974
US0001011992,11226373,218.75033039179172
US0001011992,11228959,141.89479693834275
US0001011992,11234227,157.22810761172565
US0001011992,11234371,129.47126376711344
US0001011992,11236796,87.58803889776013
US0001011992,11238624,103.53224629067174
US0001011992,11238650,182.7493573054219
US0001011992,11243826,87.43434554111553
US0001002003,13114655,142.28404119313302
US0001002002,13653857,123.12692892952782
US0001011992,13846128,120.11629645598501
US0001002000,13934707,121.75505751342718
US0001002000,13934981,210.61870304775647
US0001002000,13936579,107.95011899233694
US0001002000,13938226,233.42968823136945
US0001002000,13956195,107.33624281257073
US0001002000,13963047,97.05627490690732
US0001002000,13975555,89.36141344241146
US0001002000,13978843,297.76948956976
US0001002001,14008793,291.09646901499826
US0001002001,14009086,222.97106318087683
US0001002001,14014662,126.6057894397395
US0001002001,14022845,222.63263401245203
US0001002001,14035290,87.18969571155397
US0001002001,14042411,125.50727377713325
US0001002001,14049578,120.16062359251617
US0001002002,14064454,179.40737838292054
US0001002002,14064473,114.04353496985509
US0001002002,14065363,99.86350522981832
US0001002002,14100569,155.67647499095833
US0001002003,14108259,125.95422395672223
US0001002003,14118858,113.70967915008501
US0001002003,14123788,146.33403302229135
US0001002003,14126606,209.23602744773882
US0001002003,14133934,122.75867154718111
US0001011989,14144651,101.81511201630053
US0001011989,14148925,133.38713186072593
US0001011989,14153440,114.598717106001
US0001011989,14159191,116.24285358526906
US0001011989,14162037,101.48580973877114
US0001011989,14166499,223.49110173413922
US0001011989,14171850,220.7121638664636
US0001011989,14173573,68.75792503942208
US0001011989,14174581,131.1150131330999
US0001011989,14174952,180.88247447967046
US0001001989,14176443,134.62653256513687
US0001011989,14176771,82.78535375175665
US0001011989,14178171,303.89176701347577
US0001011989,14182508,59.50673702562594
US0001011989,14183794,119.06237617766514
US0001011989,14189372,62.35953141329548
US0001011989,14191433,221.79624152944297
US0001011990,14194766,117.66575696784923
US0001011990,14196138,139.42652227545562
US0001011990,14197389,119.1040382088891
US0001011990,14197699,140.86729291443552
US0001011990,14197782,86.74652370347926
US0001011990,14202386,77.84605050601685
US0001011990,14204143,314.4716720885032
US0001011990,14205033,139.87874989811058
US0001011990,14206483,316.00758306751896
US0001011990,14208462,141.5354256134182
US0001011990,14209726,123.2466800442488
US0001011990,14209975,118.42658510822166
US0001011990,14211023,217.43385673954958
US0001011990,14212338,223.26003899618595
US0001011990,14214126,182.3074881125202
US0001011990,14215429,110.50284452105343
US0001011990,14215806,182.66256147813402
US0001011990,14217306,86.21425849531069
US0001011990,14224874,127.11647071678296
US0001011990,14227187,78.95766334796014
US0001011990,14227259,81.54114628236555
US0001011990,14228069,124.17435501011381
US0001011990,14228828,132.7042544480188
US0001011990,14233352,47.832037625626015
US0001011990,14235002,111.81610317755964
US0001001990,14235320,219.99850793502205
US0001011990,14241539,302.5870306168881
US0001011990,14246300,59.663258214616135
US0001011991,14254199,157.13771149297224
US0001011991,14256133,148.68542881051928
US0001011991,14261904,85.12445829948217
US0001011991,14262846,223.69471885884025
US0001011991,14263702,79.03935826294135
US0001011991,14270239,60.56763899838596
US0001001991,14271485,221.4828235391579
US0001011991,14271617,148.22002313807397
US0001011991,14271878,78.31877111732207
US0001011991,14275752,312.14780269315554
US0001011991,14281985,145.41852656292195
US0001011991,14284476,316.09731271825007
US0001001991,14288700,56.017460377017095
US0001011991,14289847,223.32136256341917
US0001011991,14292005,110.36094992192477
US0001011991,14301696,176.4422723884156
US0001011991,14312296,220.34033623405222
US0001011992,14313743,95.95430784977553
US0001011992,14314562,171.7984784207645
US0001011992,14315035,155.09088573954745
US0001011992,14315346,176.4899945050605
US0001011992,14317995,117.20764323291759
US0001011992,14318130,100.44354496760518
US0001011992,14319907,178.07987555889764
US0001011992,14327170,223.47143561272023
US0001011992,14327827,104.94161870933284
